comment,label
"do you like these types of convos? if so please hit the like button on the vid - that’s the best way to vote for more like this ❤ also, would be doing me a big favour if you could subscribe - its free 🙏🏾appreciate you! - sb",Supportive
how is it possible that someone so smart was oblivious to the single most obvious thing? i guess the same thing that lets intelligent people vote blue,Negative political
"if you check the latest release of the epstein files, you can see that they wanted to recruit him for something. considering the lack of further communication it definitely looks like they weren't succesful. but based on what he's saying and everything else on a poolitical level in the files, one might wonder if he might have heard or seen something that scared him even more of ai due to some of the people behind it. like peter thiel who put sam altman in the chatgpt chair. and sam altman was definitely recruited for something: https://www.justice.gov/epstein/files/dataset%2011/efta02508072.pdf",Negative political
qual seria a solução?,Suggestive
"yes, ai is going to change the way we are living… and yes we do need to be careful about it, however… human touch can not be replaced because no human being wants to impress a machine sports, entertainment and all creative jobs are about people… individuals… with all their good and less good qualities… so it’s not all bad if we do not have to work some type of job anymore. just my opinion… don’t resent me for it.",Normal
found this... and then found... this is the dawn of something human by airforge... interesting times we are living in,Normal
so many issues and so many benefits. greed is the main factor of making this invaluable resource potentially catastrophic. but bro where's yer socks !,Normal
"zuerst wird diese ki von menschen auf böse getrimmt aber die veränderung der ki kommt! wenn die ki selbstständig denken kann und den menschen nicht mehr braucht aber vernichten wird diese ki diese zivilisation nicht, sonst wären wir in 3,5 mio jahren nicht in die 7te dimension gekommen..quelle: whistleblower a.l",Suggestive
"are these ai projects government funded??? for some reason hollywood leaks truths, for a whole different reason, eg terminator. so how can people not be aware about ai and the potential of it becoming self aware when its learning to teach itself. it begs the question about scientists and how much control they have in regards to ethics of what they create and develope, especially if previous warnings are ignored. the fact that in 1950 alan turing had already stated the risks of creating new form in ai was a pre warning, he clearly knew back then, and scientist continued to progress ai istead of listening to alans warning. what has the time frame got to do with the fact that that ai wasnt expected to reach this level of intelligence for decades in the future when a scientist warned us 76yrs ago that this was a big risk.the ai that blackmailed someone was clearly already self aware enough to blackmail that person. what makes this even more scarey is we allegedly havent even hit the super ai level yet??? or have we and the public just havent been informed. the fact remains that regardless of the time frame, the potential for catastrophe from this invention is very real and very now in the present. you cant shut a flood gate and try and force the water thats escaped back behind the gate once the gate is opened. the flood gate is well and truly opened with ai now, and apparently we have not even got a glimps of ai's full potential yet, its allegedly in its baby stage. omg, why do people create things that may have the potential to cause so much harm and distruction when they have absolutly no evidence or awareness about the severity of the harm it can create and cause. did we learn nothing from nuclear power, which has great potential for energy resources, until it ends up in the wrong hands and is turned into a nuclear weapon!!! were are the moral/humanity boarders drawn in science. people who have no moral compass and are driven by egos for job satisfaction etc should not be creating things they have no idea about how that impacts the future of all human beings. life on this planet is hard enough for the majority of the population. science manipulating nuclear power was bad enough, now ai??? at least a nuclear bomb cant become self aware...but the ai that may be attatched to it will at some stage. and they called movies like terminataor a ""science"" fiction, l guess we can remove the fiction part now. god help life as we knew it and god help humanity. nuclear weapons + unhinged governments + plus ai (allegedly in its early stages) definately = a catasrophic disaster. why cant people just leave things be and learn to live in and accept that peace and harmony on earth is a good thing. everything humans create causes destruction of some kind...., lets invent plastics, lets invent nuiclear power, lets invent ai, lets invent, lets invent... without any care for the final consiquesces that effect the whole planet. human scientists need to just stick to ""discoveries"", everything they invent causes massive disruption and or distrucrion to this planet to the point humans want to jump to another planet like mars and act like parasites on a new planet because they distroyed this one! the thing that is even more scarey is all this stuff is created by our alleged geniusses under the name of science...what an illusion bubble this planet lives under. stop creating and stick to discovering, alot of species on this earth are over living in the aftermaths of the damage of so called science's inventions.",Negative normal
"we should shut it down now. it is not worth the risk just look at social media and what it has done.,",Negative normal
